c_alfabeta,principio_activo,marca_comercial,presentacion,laboratorio,potencia,potencia_medida,unidades_presentacion,pactivo_concentracion,periodo,copago
821,fluoxetina,FOXETIN,20 mg comp.x 20,Gador,"20,0",mg,20,"fluoxetina_20,0_mg_20",202504,5782.22
883,"vit.b,complejo",BAGO B1 B6 B12,sol.x 100 ml,Bag¿,"5633,6",mg,1,"vit.b,complejo_5633,6_mg_1",202504,12563.56
896,vit.a+triamcinolona,BAGOVIT A PLUS,cr.x 100 g,Bag¿,"1000,0",UI,1,"vit.a+triamcinolona_1000,0_UI_1",202504,12809.34
900,"dehidrocólico,ác.+asoc.",BIL 13,comp.x 20,Bag¿,"300,0",mg,20,"dehidrocólico,ác.+asoc._300,0_mg_20",202504,4936.79
911,cefazolina,CEFALOMICINA,1000 mg iny.liof.f.a.x 1,Bag¿,,No Clasificada,1,cefazolina_No Clasificada_1,202504,679.63
927,teofilina anhidra,DRILYNA,300 mg comp.x 20,Bag¿,"300,0",mg,20,"teofilina anhidra_300,0_mg_20",202504,3425.27
928,ampicilina,AMPICILINA RICHET,1 g comp.x 8,Richet,"1000,0",mg,8,"ampicilina_1000,0_mg_8",202504,3241.11
930,carbamazepina,CONFORMAL AP,400 mg comp.x 30,Teva Argentina,"400,0",mg,30,"carbamazepina_400,0_mg_30",202504,201.42
943,diosmina,FLEBOTROPIN 300,comp.x 20,Bag¿,"300,0",mg,20,"diosmina_300,0_mg_20",202504,6001.16
944,diosmina,FLEBOTROPIN 300,comp.x 40,Bag¿,"300,0",mg,40,"diosmina_300,0_mg_40",202504,11410.64
961,gentamicina,GLEVOMICINA,400 mg iny.f.a.x 1 x10ml,Bag¿,"400,0",mg,1,"gentamicina_400,0_mg_1",202504,714.49
965,gemfibrozil,HIPOLIXAN 600,comp.x 30,Bag¿,"600,0",mg,30,"gemfibrozil_600,0_mg_30",202504,861.49
967,meloxicam,VIROBRON,comp.x 30,Temis-Lostal¿,"15,0",mg,30,"meloxicam_15,0_mg_30",202504,13984.3
968,diltiazem,INCORIL 60,60 mg comp.x 60,Bag¿,"60,0",mg,60,"diltiazem_60,0_mg_60",202504,5411.22
969,diltiazem,INCORIL AP 90,90 mg comp.x 30,Bag¿,"90,0",mg,30,"diltiazem_90,0_mg_30",202504,5572.78
970,diltiazem,INCORIL AP 90,90 mg comp.x 60,Bag¿,"90,0",mg,60,"diltiazem_90,0_mg_60",202504,10173.82
980,prasterona+procaína+asoc.,LONGEVITAL,5000 mcg comp.x 30,Bag¿,"5000,0",mcg,30,"prasterona+procaína+asoc._5000,0_mcg_30",202504,8480.17
999,ampicilina,AMPICILINA RICHET,1 g comp.x 16,Richet,"1000,0",mg,16,"ampicilina_1000,0_mg_16",202504,6467.16
1009,bromazepam,OCTANYL 3,3 mg comp.x 50,Bag¿,"3,0",mg,50,"bromazepam_3,0_mg_50",202504,4222.55
1010,bromazepam,OCTANYL 6,6 mg comp.x 50,Bag¿,"6,0",mg,50,"bromazepam_6,0_mg_50",202504,7855.21
1011,bromazepam,OCTANYL 12,12 mg comp.x 50,Bag¿,"12,0",mg,50,"bromazepam_12,0_mg_50",202504,1401.92
1012,penicilina g benzatínica,PEN DI BEN 1200000,1200000 UI iny.f.a.x 1,Bag¿,"1200000,0",UI,1,"penicilina g benzatínica_1200000,0_UI_1",202504,3642.99
1013,penicilina g benzatínica,PEN DI BEN 2400000,2400000 UI iny.f.a.x 1,Bag¿,"2400000,0",UI,1,"penicilina g benzatínica_2400000,0_UI_1",202504,6014.39
1023,minoxidil,YLOX,loc.x 100 ml,Fortbenton,"2,0",g,1,"minoxidil_2,0_g_1",202504,8626.11
1025,cefalexina,SEPTILISIN,500 mg comp.x 16,Bag¿,"500,0",mg,16,"cefalexina_500,0_mg_16",202504,319.91
1026,cefalexina,SEPTILISIN,500 mg susp.x 60 ml,Bag¿,"6000,0",mg,1,"cefalexina_6000,0_mg_1",202504,271.98
1033,alprazolam,TRANQUINAL 0.5,0.5 mg comp.x 50,Bag¿,"0,5",mg,50,"alprazolam_0,5_mg_50",202504,3044.26
1034,alprazolam,TRANQUINAL 1,1 mg comp.x 50,Bag¿,"1,0",mg,50,"alprazolam_1,0_mg_50",202504,6452.93
1039,ampicilina,TRIFACILINA FORTE,jbe.x 120 ml,Bag¿,"6000,0",mg,1,"ampicilina_6000,0_mg_1",202504,350.2
1042,ampicilina,TRIFACILINA 1000,1000 mg comp.x 8,Bag¿,"1000,0",mg,8,"ampicilina_1000,0_mg_8",202504,3506.27
1043,ampicilina,TRIFACILINA 1000,1000 mg comp.x 16,Bag¿,"1000,0",mg,16,"ampicilina_1000,0_mg_16",202504,6974.82
1044,ampicilina,TRIFACILINA,1000mg iny.liof.x1+solv.,Bag¿,"1000,0",mg,1,"ampicilina_1000,0_mg_1",202504,412.26
1047,ampicilina,TRIFACILINA 500,500 mg comp.x 16,Bag¿,"500,0",mg,16,"ampicilina_500,0_mg_16",202504,4752.64
1057,amoxicilina,TRIFAMOX 250,250 mg jbe.x 120 ml,Bag¿,"6000,0",mg,1,"amoxicilina_6000,0_mg_1",202504,3278.23
1059,amoxicilina,TRIFAMOX 500,500 mg comp.x 16,Bag¿,"500,0",mg,16,"amoxicilina_500,0_mg_16",202504,2405.44
1060,amoxicilina,TRIFAMOX,500 mg jbe.x 60 ml,Bag¿,"6000,0",mg,1,"amoxicilina_6000,0_mg_1",202504,186.67
1061,amoxicilina,TRIFAMOX 250/500 JBE,500 mg jbe.x 120 ml,Bag¿,"12000,0",mg,1,"amoxicilina_12000,0_mg_1",202504,4697.51
1064,amoxicilina,TRIFAMOX 1000,1000 mg comp.x 16,Bag¿,"1000,0",mg,16,"amoxicilina_1000,0_mg_16",202504,8147.01
1070,amoxicilina+brovanexina,TRIFAMOX BRONQUIAL,500 mg jbe.x 120 ml,Bag¿,"12360,0",mg,1,"amoxicilina+brovanexina_12360,0_mg_1",202504,622.69
1071,amoxicilina+brovanexina,TRIFAMOX BRONQUIAL,500 mg comp.x 16,Bag¿,"530,0",mg,16,"amoxicilina+brovanexina_530,0_mg_16",202504,583.0
1074,amoxicilina+sulbactam,TRIFAMOX IBL,500 mg jbe.x 60 ml,Bag¿,"6000,0",mg,1,"amoxicilina+sulbactam_6000,0_mg_1",202504,450.1
1146,ergotamina+asoc.,MIKESAN,comp.x 10,Baliarda,"111,0",mg,10,"ergotamina+asoc._111,0_mg_10",202504,2176.34
1151,citicolina,REAGIN 500,500 mg iny.a.x 3,Baliarda,"500,0",mg,3,"citicolina_500,0_mg_3",202504,5937.38
1152,citicolina,REAGIN 1000,1000 mg iny.a.x 1,Baliarda,"1000,0",mg,1,"citicolina_1000,0_mg_1",202504,3500.99
1153,citicolina,REAGIN GOTAS,gts.x 30 ml,Baliarda,"3000,0",mg,1,"citicolina_3000,0_mg_1",202504,9673.42
1211,fenobarbital,LUMINALETAS,comp.x 30,Bayer (PH),"15,0",mg,30,"fenobarbital_15,0_mg_30",202504,1386.34
1243,naproxeno,ALIDASE,comp.x 10,Laboratorios Be,"250,0",mg,10,"naproxeno_250,0_mg_10",202504,3897.26
1258,"sodio,fluoruro",FLUORDENT,comp.x 30,Laboratorios Be,"2,2",mg,30,"sodio,fluoruro_2,2_mg_30",202504,4191.09
1260,"sodio,fluoruro",FLUORDENT,gts.x 30 ml,Laboratorios Be,"66,3",mg,1,"sodio,fluoruro_66,3_mg_1",202504,4191.09
1271,trimebutina,MIOPROPAN,comp.x 20,Laboratorios Be,"100,0",mg,20,"trimebutina_100,0_mg_20",202504,2926.39
1274,trimebutina+bromazepam,MIOPROPAN T,100/1.5 mg comp.x 20,Laboratorios Be,"101,5",mg,20,"trimebutina+bromazepam_101,5_mg_20",202504,3453.52
1275,trimebutina+bromazepam,MIOPROPAN T,100/1.5 mg comp.x 50,Laboratorios Be,"101,5",mg,50,"trimebutina+bromazepam_101,5_mg_50",202504,7908.68
1285,metronidazol,METRONIDAZOL BIOL,500 mg comp.x 20,Biol,"500,0",mg,20,"metronidazol_500,0_mg_20",202504,4079.78
1287,clindamicina,CLINTOPIC,loc.x 30 ml,Siegfried,"300,0",mg,1,"clindamicina_300,0_mg_1",202504,1029.48
1288,clobetasol,CLOBESOL,ung.x 15 g,Siegfried,"7,5",mg,1,"clobetasol_7,5_mg_1",202504,2755.74
1289,fenofibrato micronizado,PROCETOKEN,100 mg comp.x 60,Laboratorios Be,"100,0",mg,60,"fenofibrato micronizado_100,0_mg_60",202504,4107.93
1304,espironolactona,ALDACTONE A,100 mg comp.x 30,Pfizer,"100,0",mg,30,"espironolactona_100,0_mg_30",202504,10247.82
1339,nadroparina cálcica,FRAXIPARINE,jga.prell.x 10 - 0.6 ml,Aspen Argentina,,No Clasificada,10,nadroparina cálcica_No Clasificada_10,202504,11539.34
1340,"potasio,cloruro+asoc.",CO SALT,fco.salero x 140 g,Pfizer,"131,6",g,1,"potasio,cloruro+asoc._131,6_g_1",202504,1303.27
1341,fenolftaleína+asoc.,GENOLAXANTE,grag.x 30,Craveri,"100,0",mg,30,"fenolftaleína+asoc._100,0_mg_30",202504,3528.47
1350,"butamirato,citrato",DOSODOS,gts.x 15 ml,Beta,"60,0",mg,1,"butamirato,citrato_60,0_mg_1",202504,4127.67
1352,dimenhidrinato,DRAMAMINE,comp.x 12,Johnson & Johns,"50,0",mg,12,"dimenhidrinato_50,0_mg_12",202504,3514.85
1363,hidroclorotiazida+amilorida,HIDRENOX A,comp.x 50,Teva Argentina,"55,0",mg,50,"hidroclorotiazida+amilorida_55,0_mg_50",202504,4701.46
1390,diclofenac potásico,OXA 50,50 mg comp.rec.x 30,Beta,"50,0",mg,30,"diclofenac potásico_50,0_mg_30",202504,7464.97
1391,diclofenac potásico,OXA 75,75 mg iny.a.x 6 x 3 ml,Beta,"75,0",mg,6,"diclofenac potásico_75,0_mg_6",202504,1600.77
1394,diclofenac potásico+paracetamol,OXAGESIC,comp.rec.x 30,Beta,"350,0",mg,30,"diclofenac potásico+paracetamol_350,0_mg_30",202504,10627.73
1395,diclofenac sódico,OXA RETARD,comp.rec.x 30,Beta,"100,0",mg,30,"diclofenac sódico_100,0_mg_30",202504,1025.44
1400,ketotifeno,RESPIMEX,jbe.x 200 ml,Pfizer,"40,0",mg,1,"ketotifeno_40,0_mg_1",202504,3282.6
1401,ketotifeno,RESPIMEX,comp.x 60,Pfizer,"1,0",mg,60,"ketotifeno_1,0_mg_60",202504,2634.27
1402,lactulosa,LACTULON,jbe.x 120 ml,Lazar,"78000,0",mg,1,"lactulosa_78000,0_mg_1",202504,7085.28
1407,"ipratropio,bromuro+fenoterol",BERODUAL,sol.x 20 ml,Boehringer Inge,,No Clasificada,1,"ipratropio,bromuro+fenoterol_No Clasificada_1",202504,902.72
1464,llantén+senósidos a y b,MEDILAXAN,gran.fco.x 250 g,Beta,"137,0",mg,1,"llantén+senósidos a y b_137,0_mg_1",202504,8140.25
1475,betametasona,BETNOVATE,cr.x 15 g,GlaxoSmithKline,"15,0",mg,1,"betametasona_15,0_mg_1",202504,3320.1
1478,glucoprot.de enterobacterias,INESPECIN,comp.x 6,Biol,"10,0",mg,6,"glucoprot.de enterobacterias_10,0_mg_6",202504,5015.8
1481,antígenos,NILFLUX,vac.oral grag.x 10,Biol,,No Clasificada,10,antígenos_No Clasificada_10,202504,6510.98
1482,nistatina+neomicina+asoc.,O BIOL,óv.x 6,Biol,"100000,0",UI,6,"nistatina+neomicina+asoc._100000,0_UI_6",202504,4588.89
1537,norfloxacina,UROXACIN,400 mg comp.rec.x 10,Lazar,"400,0",mg,10,"norfloxacina_400,0_mg_10",202504,2983.83
1550,betametasona+neomicina,BETNOVATE N,cr.x 15 g,GlaxoSmithKline,"90,0",mg,1,"betametasona+neomicina_90,0_mg_1",202504,3154.94
1563,plántago ovata+cassia angustif.,AGIOLAX,env.x 100 g,Elea,"66,6",g,1,"plántago ovata+cassia angustif._66,6_g_1",202504,8924.45
1564,plántago ovata+cassia angustif.,AGIOLAX,env.x 250 g,Elea,"166,5",g,1,"plántago ovata+cassia angustif._166,5_g_1",202504,18087.04
1567,bezafibrato,BEZALIP RETARD,comp.rec.x 30,Teva Argentina,"400,0",mg,30,"bezafibrato_400,0_mg_30",202504,15913.91
1574,glibenclamida,EUGLUCON,comp.x 30,Siegfried,"5,0",mg,30,"glibenclamida_5,0_mg_30",202504,0.0
1575,glibenclamida,EUGLUCON,comp.x 60,Siegfried,"5,0",mg,60,"glibenclamida_5,0_mg_60",202504,0.0
1599,digoxina,LANICOR,comp.x 60,HLB Pharma,"250,0",mcg,60,"digoxina_250,0_mcg_60",202504,110.0
1600,digoxina,LANICOR,comp.x 120,HLB Pharma,"250,0",mcg,120,"digoxina_250,0_mcg_120",202504,187.0
1639,fenoterol,BEROTEC,0.5% sol.x 20 ml,Boehringer Inge,,No Clasificada,1,fenoterol_No Clasificada_1,202504,615.74
1644,cefuroxima,CEFUROX,500 mg comp.rec.x 8,Elea,"500,0",mg,8,"cefuroxima_500,0_mg_8",202504,327.6
1650,ciprofloxacina,SEPTICIDE 500,500 mg comp.x 10,Bag¿,"500,0",mg,10,"ciprofloxacina_500,0_mg_10",202504,5422.85
1669,clobetasona,EUMOVATE,cr.x 15 g,Siegfried,,No Clasificada,1,clobetasona_No Clasificada_1,202504,732.54
1761,"hierro+vit.b12+fólico,ác.",FERRANIN COMPLEX,iny.x 5 x 2 ml,Takeda,"101,2",mg,5,"hierro+vit.b12+fólico,ác._101,2_mg_5",202504,835.98
1789,"sangre de ternera,ext.desprotein",SOLCOSERYL,gel oft.x 5 g,Max Vision,,No Clasificada,1,"sangre de ternera,ext.desprotein_No Clasificada_1",202504,830.88
1810,lidocaína+hidrocortisona+asoc.,PROCTO-IKATRAL,pda.x 10 g,Baliarda,"300,0",mg,1,"lidocaína+hidrocortisona+asoc._300,0_mg_1",202504,4042.6
1897,ketorolac,KEMANAT,10 mg comp.x 20,Microsules Arg.,"10,0",mg,20,"ketorolac_10,0_mg_20",202504,4750.54
1899,ketorolac,KEMANAT,20 mg comp.x 20,Microsules Arg.,"20,0",mg,20,"ketorolac_20,0_mg_20",202504,7292.96
1913,domperidona+simeticona,BIGETRIC,comp.x 20,Casasco,"210,0",mg,20,"domperidona+simeticona_210,0_mg_20",202504,4295.87
1914,domperidona+simeticona,BIGETRIC,comp.x 40,Casasco,"210,0",mg,40,"domperidona+simeticona_210,0_mg_40",202504,6939.93
1946,"bencidamina,clorhidrato",ERNEX,líq.x 120 ml,Casasco,"360,0",mg,1,"bencidamina,clorhidrato_360,0_mg_1",202504,4432.76
1949,simeticona,FACTOR AG,200 mg comp.x 20,Casasco,"200,0",mg,20,"simeticona_200,0_mg_20",202504,2629.89
1952,simeticona,FACTOR AG GOTAS,Ped.gts.x 30 ml,Casasco,"1200,0",mg,1,"simeticona_1200,0_mg_1",202504,3792.37
1954,"aluminio,hidr.+magn.hidr.+simet.",FACTOR AG ANTIACIDO,comp.x 30,Casasco,"1250,0",mg,30,"aluminio,hidr.+magn.hidr.+simet._1250,0_mg_30",202504,211.21
1955,simeticona,FACTOR AG FORTE,emuls.x 60 ml,Casasco,"9000,0",mg,1,"simeticona_9000,0_mg_1",202504,2272.72
1991,aminoácidos+vit.b12,POLPER B12,a.beb.x 10,Casasco,"2505,0",mg,10,"aminoácidos+vit.b12_2505,0_mg_10",202504,13068.82
1992,aminoácidos+vit.b12,POLPER B12,a.beb.x 30,Casasco,"7515,0",mg,30,"aminoácidos+vit.b12_7515,0_mg_30",202504,33210.49
2002,pool bacteriano,VACUNACE,sob.x 20,Casasco,,No Clasificada,20,pool bacteriano_No Clasificada_20,202504,9504.04
2029,prednisolona+cloramfenicol,ESODAR,susp.est.x 10 ml,Cassarß,"70,0",mg,1,"prednisolona+cloramfenicol_70,0_mg_1",202504,3027.69
2042,clotrimazol,MICOMAZOL,cr.derm.x 30 g,Siegfried,"300,0",mg,1,"clotrimazol_300,0_mg_1",202504,6049.43
2045,ketoconazol,MICORAL,comp.x 10,Siegfried,"200,0",mg,10,"ketoconazol_200,0_mg_10",202504,3889.73
2046,ketoconazol,MICORAL,comp.x 30,Siegfried,"200,0",mg,30,"ketoconazol_200,0_mg_30",202504,7179.9
2047,hidrocortisona,MICROSONA,0.5% cr.x 15 g,Siegfried,"75,0",mg,1,"hidrocortisona_75,0_mg_1",202504,2306.08
2048,hidrocortisona,MICROSONA,1% cr.x 15 g,Siegfried,"150,0",mg,1,"hidrocortisona_150,0_mg_1",202504,2445.88
2050,hidrocortisona,MICROSONA,2% cr.x 15 g,Siegfried,"300,0",mg,1,"hidrocortisona_300,0_mg_1",202504,2953.59
2051,ketoconazol+hidrocort.+gentamic.,MICROSONA C,cr.x 15 g,Siegfried,"465,0",mg,1,"ketoconazol+hidrocort.+gentamic._465,0_mg_1",202504,6873.97
2072,vacuna polimicrob.polimicót.,SUMMAVAC M,iny.a.x 8,Cassarß,,No Clasificada,8,vacuna polimicrob.polimicót._No Clasificada_8,202504,15184.59
2073,vacuna polimicrob.polimicót.,SUMMAVAC P,iny.a.x 8,Cassarß,,No Clasificada,8,vacuna polimicrob.polimicót._No Clasificada_8,202504,15928.74
2128,troxerrutina+escina,TROXEVEN FORTE,500 mg comp.x 20,Craveri,"500,0",mg,20,"troxerrutina+escina_500,0_mg_20",202504,6826.08
2129,troxerrutina+escina,TROXEVEN FORTE,500 mg comp.x 40,Craveri,"500,0",mg,40,"troxerrutina+escina_500,0_mg_40",202504,11758.33
2135,pancreatina+asoc.,ARNOL 720-T,comp.rec.x 30,Cetus,"720,0",mg,30,"pancreatina+asoc._720,0_mg_30",202504,10921.83
2136,pancreatina+asoc.,ARNOL 720-T,comp.rec.x 60,Cetus,"720,0",mg,60,"pancreatina+asoc._720,0_mg_60",202504,21512.52
2139,diclofenac sódico+orfenadrina,BELMALEN,comp.rec.x 20,Cetus,"90,0",mg,20,"diclofenac sódico+orfenadrina_90,0_mg_20",202504,11105.15
2141,verapamilo,ISOPTINO MD,240 mg comp. rec.x 30,Abbott EPD,"240,0",mg,30,"verapamilo_240,0_mg_30",202504,15472.29
2142,metoclopramida+asoc.,BITECAIN A.A.,comp.x 20,Cetus,"10,0",mg,20,"metoclopramida+asoc._10,0_mg_20",202504,7985.84
2148,paracetamol+difenhidramina+asoc.,CORIZINA CETUS,grag.x 12,Cetus,"340,0",mg,12,"paracetamol+difenhidramina+asoc._340,0_mg_12",202504,4530.06
2155,"sodio,picosulfato",DAGOL CETUS,comp.x 20,Cetus,"4,0",mg,20,"sodio,picosulfato_4,0_mg_20",202504,3410.44
2156,"sodio,picosulfato",DAGOL CETUS,gts.x 15 ml,Cetus,"112,5",mg,1,"sodio,picosulfato_112,5_mg_1",202504,2825.42
2164,bametano+asoc.,FLAVAL,comp.x 30,Cetus,"10,0",mg,30,"bametano+asoc._10,0_mg_30",202504,15091.23
2165,bametano+asoc.,FLAVAL,comp.x 60,Cetus,"10,0",mg,60,"bametano+asoc._10,0_mg_60",202504,29486.59
2169,levoglutamina+vit.b6+asoc.,TUAPLEX,comp.x 50,Cetus,"250,0",mg,50,"levoglutamina+vit.b6+asoc._250,0_mg_50",202504,24739.83
2171,"dehidrocólico,ác.+asoc.",ZIMEROL,comp.rec.x 45,Cetus,"300,0",mg,45,"dehidrocólico,ác.+asoc._300,0_mg_45",202504,12993.1
2173,clomipramina,ANAFRANIL,grag.x 30,Biosidus S.A.U.,"25,0",mg,30,"clomipramina_25,0_mg_30",202504,4336.67
2174,clomipramina,ANAFRANIL,a.x 10,Novartis-Sandoz,"25,0",mg,10,"clomipramina_25,0_mg_10",202504,196.11
2216,metoclopramida,RELIVERAN,comp.x 20,Gador,"10,0",mg,20,"metoclopramida_10,0_mg_20",202504,1772.12
